file,minutes,target_z_um,actual_z_um,z_index,roi_y0,roi_y1,roi_x0,roi_x1,label_counts,unknown_fraction,roi_status,native_length_um,native_x_um,native_y_um,altered_length_um,altered_x_um,altered_y_um,ratio_altered_to_native,ge_fraction_native,ge_fraction_altered,unknown_as_ge_native_um,unknown_as_ge_altered_um,unknown_as_ge_ratio,measurement_status
ROI_15min.tif,15,12.0,12.0,129,380,680,385,685,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,12.6,12.6,139,380,680,385,685,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,13.2,13.2,149,379,679,384,684,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,13.8,13.8,159,379,679,384,684,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,14.4,14.4,169,379,679,384,684,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,15.0,15.0,179,379,679,384,684,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,15.6,15.6,189,378,678,383,683,"{""2"": 90000}",0.0,eligible,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,unresolved crossing
ROI_15min.tif,15,16.2,16.2,199,378,678,383,683,"{""2"": 89983, ""3"": 17}",0.0,eligible,0.11844403941984608,0.06529209612599496,0.1715959827136972,0.11999971166114395,0.11999971166114373,0.11999971166114416,1.0131342383197817,0.00018888888888888888,0.00017777777777777779,0.11844403941984608,0.11999971166114395,1.0131342383197817,resolved
ROI_15min.tif,15,16.8,16.8,209,378,678,382,682,"{""2"": 89963, ""3"": 37}",0.0,eligible,0.15894387176259084,0.11746276974956987,0.2004249737756118,0.1815985578477965,0.11999942322111787,0.24319769247447512,1.1425326175459234,0.0004111111111111111,0.00035555555555555557,0.15894387176259084,0.1815985578477965,1.1425326175459234,resolved
ROI_15min.tif,15,17.4,17.4,219,378,678,383,683,"{""2"": 89913, ""3"": 87}",0.0,eligible,0.20621470883954823,0.19974217263106195,0.2126872450480345,0.16066371470420515,0.16064432191314046,0.16068310749526982,0.7791088987217423,0.0009666666666666667,0.0007111111111111111,0.20621470883954823,0.16066371470420515,0.7791088987217423,resolved
ROI_15min.tif,15,18.0,18.0,229,378,678,383,683,"{""2"": 89840, ""3"": 160}",0.0,eligible,0.2502642372197543,0.19943982971965027,0.30108864471985836,0.26388783010387734,0.2016263976222725,0.3261492625854822,1.0544368345852,0.0017777777777777779,0.0017777777777777779,0.2502642372197543,0.26388783010387734,1.0544368345852,resolved
ROI_105min.tif,105,12.0,12.0,132,375,675,385,685,"{""2"": 89495, ""3"": 505}",0.0,eligible,0.4795531417261235,0.34828772927469126,0.6108185541775558,0.4946224128104815,0.3686640283268072,0.6205807972941558,1.0314235686792022,0.005611111111111111,0.005688888888888889,0.4795531417261235,0.4946224128104815,1.0314235686792022,resolved
ROI_105min.tif,105,12.6,12.6,142,375,675,385,685,"{""2"": 89947, ""3"": 53}",0.0,eligible,0.18674509113941495,0.17820964769228967,0.19528053458654027,0.18122251625338934,0.18122251625338917,0.1812225162533895,0.9704272018486273,0.0005888888888888889,0.0005333333333333334,0.18674509113941495,0.18122251625338934,0.9704272018486273,resolved
ROI_105min.tif,105,13.2,13.2,152,375,675,386,686,"{""2"": 89999, ""3"": 1}",0.0,eligible,0.02999999888516025,0.029999998885160053,0.029999998885160452,nan,nan,nan,nan,1.1111111111111112e-05,0.0,0.02999999888516025,nan,nan,unresolved crossing
ROI_105min.tif,105,13.8,13.8,162,375,675,386,686,"{""2"": 89731, ""3"": 269}",0.0,eligible,0.46250677231574344,0.32243618777898914,0.6025773568524978,0.46012860123879007,0.3424818358639978,0.5777753666135823,0.9948580837745445,0.002988888888888889,0.0028444444444444446,0.46250677231574344,0.46012860123879007,0.9948580837745445,resolved
ROI_105min.tif,105,14.4,14.4,172,375,675,386,686,"{""2"": 89368, ""3"": 632}",0.0,eligible,0.43154002812263115,0.3981371208873956,0.46494293535786674,0.4208340932206981,0.3885835106989781,0.4530846757424181,0.9751913282563658,0.007022222222222222,0.006933333333333333,0.43154002812263115,0.4208340932206981,0.9751913282563658,resolved
ROI_105min.tif,105,15.0,15.0,182,375,675,386,686,"{""2"": 89240, ""3"": 760}",0.0,eligible,0.4937822592587674,0.5071939299091967,0.4803705886083381,0.49516931197652525,0.5203426379806879,0.4699959859723626,1.0028090371651668,0.008444444444444444,0.008533333333333334,0.4937822592587674,0.49516931197652525,1.0028090371651668,resolved
ROI_105min.tif,105,15.6,15.6,192,375,675,386,686,"{""2"": 88831, ""3"": 1169}",0.0,eligible,0.6655914293068386,0.6714894124382392,0.6596934461754379,0.683937923077913,0.7018300747023521,0.6660457714534738,1.0275641977394163,0.012988888888888888,0.013155555555555556,0.6655914293068386,0.683937923077913,1.0275641977394163,resolved
ROI_105min.tif,105,16.2,16.2,202,374,674,387,687,"{""2"": 88846, ""3"": 1154}",0.0,eligible,0.7543115653307355,0.6351697517074019,0.873453378954069,0.7588473230463257,0.645818830927347,0.8718758151653045,1.006013109070655,0.012822222222222223,0.0128,0.7543115653307355,0.7588473230463257,1.006013109070655,resolved
